,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
254,c:105401,we.R.play,werplay.com,2010-08-01,,PAK,Company,games_video,,1,computer games,51 - 200,57,50,6.853753443650321e-08
255,c:105413,Opsview,opsview.com,2005-01-01,,GBR,Company,software,,1,information technology and services,51 - 200,52,1,3.18935918707464e-07
256,c:105414,Greenphire,greenphire.com,2007-01-01,PA,USA,Company,software,5806037,,pharmaceuticals,51 - 200,88,50,4.88172353873979e-08
257,c:105426,YouCaring,youcaring.com,2011-04-01,CA,USA,Company,nonprofit,100000,1,fund-raising,11 - 50,14,1,6.73405567739593e-06
258,c:10543,BiggerPockets,biggerpockets.com,2004-08-01,CO,USA,Company,web,,1,internet,11 - 50,25,1,1.9203589363584597e-06
259,c:10544,Reputation.com,reputation.com,2006-01-01,CA,USA,Company,web,67650000,2,internet,501 - 1000,265,200,1.71268589241303e-06
260,c:10545,LRAD Corporation,lradx.com,1980-01-01,CA,USA,Company,semiconductor,,1,defense & space,51 - 200,26,1,1.0472569863995e-07
261,c:105485,OneSky,oneskyapp.com,,,,Company,software,,,information technology and services,51 - 200,40,1,8.616284981414178e-07
262,c:105486,Miemagazine,miemagazine.com,2011-08-09,,FIN,Company,other,,,media production,1 - 10,1,1,5.4811162252657705e-09
263,c:105487,Allstar Security & Consulting Inc,asnysecurity.com,2004-02-29,,,Company,security,,,security and investigations,51 - 200,39,50,9.206831634869291e-09
264,c:105499,Personalis,personalis.com,2011-08-01,CA,USA,Company,biotech,42000000,1,biotechnology,51 - 200,56,50,4.6539227004978403e-08
265,c:10550,ConnectSolutions,connectsolutions.com,2007-01-01,CA,USA,Company,enterprise,10000000,1,information technology and services,1 - 10,1,1,7.203269630528629e-07
267,c:105513,Wi2Wi,wi2wi.com,,CA,USA,Company,mobile,,1,electrical/electronic manufacturing,11 - 50,16,50,4.89484606465747e-08
268,c:10560,3scale,3scale.net,2007-12-01,,ESP,Company,enterprise,5000000,2,information technology and services,11 - 50,13,1,1.45915548275813e-06
270,c:10561,Oliver Wyman,oliverwyman.com,1972-01-01,NY,USA,Company,consulting,,1,management consulting,5001 - 10000,3366,1000,1.79775369579137e-06
271,c:10563,The Next Web,thenextweb.com,2008-01-01,,NLD,Company,news,,2,online media,201 - 500,106,1,3.35187748391012e-05
272,c:105642,TravelTriangle,traveltriangle.com,2011-07-01,,IND,Company,travel,200000,2,"leisure, travel & tourism",201 - 500,161,200,2.38663329997789e-07
273,c:105687,Xtium,xtium.com,2004-01-01,PA,USA,Company,enterprise,15500000,,information technology and services,1 - 10,4,1,1.4154762767923799e-08
274,c:10570,Spectrum Bridge,spectrumbridge.com,2007-03-01,FL,USA,Company,network_hosting,23326001,1,wireless,11 - 50,10,1,8.382720660691969e-08
275,c:105702,AgileBio,agilebio.com,2002-06-01,,FRA,Company,software,,,information technology and services,11 - 50,6,200,1.22651190954683e-08
276,c:105704,Rootstock Software,rootstock.com,2008-01-01,CA,USA,Company,software,6545000,2,internet,51 - 200,37,50,8.54578961079164e-08
277,c:10574,360pi,360pi.com,2007-07-01,,CAN,Company,software,4100000,1,information technology and services,11 - 50,14,1,1.31625008045292e-07
279,c:10577,Shastic,shastic.com,2008-01-07,CA,USA,Company,software,,,financial services,1 - 10,4,1,2.5814617193197502e-08
280,c:10580,Pressmart,pressmart.com,,CA,USA,Company,web,6000000,1,information technology and services,201 - 500,83,1,2.54268209704458e-07
281,c:10583,Stylesight,stylesight.com,2004-01-01,NY,USA,Company,fashion,26000006,2,information services,51 - 200,58,50,1.3272357178066699e-07
282,c:105954,Share Media,share.asia,2011-04-01,,HKG,Company,mobile,,1,information technology and services,11 - 50,4,1,5.5862981427477695e-09
283,c:106,iContact,icontact.com,2003-07-02,NC,USA,Company,messaging,53350000,5,information technology and services,201 - 500,144,50,1.27376769341544e-05
285,c:10604,Internet Brands,internetbrands.com,1998-01-01,CA,USA,Company,web,,4,internet,1001 - 5000,790,500,4.31676912833322e-06
286,c:106079,Credorax,credorax.com,2008-01-01,MA,USA,Company,ecommerce,40000000,1,financial services,201 - 500,161,50,6.33840989434857e-08
287,c:10610,Geodelic Systems,geodelic.com,2008-01-01,CA,USA,Company,mobile,10500000,3,computer software,1 - 10,3,1,1.82673274687188e-08
288,c:106109,The Sound Pipe Media,thesoundpipemedia.com,2005-01-02,,GBR,Company,mobile,,,marketing and advertising,1 - 10,2,50,2.4890567143934703e-08
289,c:10614,Inuvo,inuvo.com,2009-08-01,FL,USA,Company,advertising,4200000,3,marketing and advertising,51 - 200,60,50,3.50043030037618e-07
290,c:106156,Forward Internet Group,forward.co.uk,2004-08-01,,GBR,Company,web,,2,internet,11 - 50,25,50,1.0563110235257099e-07
291,c:106165,Great Lakes Computer,glcomp.com,1986-01-01,MI,USA,Company,enterprise,,,computer hardware,11 - 50,22,50,8.81056276043022e-09
292,c:106179,Polsense,polsense.com,,TX,USA,Company,web,,1,information technology and services,1 - 10,1,1,5.35604730129941e-09
293,c:1062,23andMe,23andme.com,2006-04-01,CA,USA,Company,biotech,160549892,3,biotechnology,501 - 1000,322,200,2.93103906509595e-06
294,c:106291,DefinedLogic,definedlogic.com,2002-01-01,NJ,USA,Company,other,,,information technology and services,51 - 200,41,1,3.5038525547690694e-08
295,c:1063,YuMe,yume.com,2004-01-01,CA,USA,Company,advertising,72900000,4,marketing and advertising,201 - 500,237,500,9.12117534235799e-07
298,c:106304,LogoGarden,logogarden.com,2011-07-01,TN,USA,Company,software,2000000,,graphic design,1 - 10,2,1,3.49358967619011e-07
299,c:106335,SaaSMAX,saasmax.com,2011-01-19,,,Company,software,200000,,information technology and services,11 - 50,14,1,3.76218813618035e-08
301,c:106371,Pago Mobile,gopago.com,2011-01-01,CA,USA,Company,ecommerce,,1,business supplies and equipment,1 - 10,5,50,3.7355346674225e-08
302,c:150258,GoPago,gopago.com,2009-01-01,CA,USA,Company,enterprise,,2,business supplies and equipment,1 - 10,5,50,3.7355346674225e-08
303,c:10638,Raizlabs,raizlabs.com,2003-09-11,MA,USA,Company,software,,2,computer software,51 - 200,41,50,5.7427037253927e-07
304,c:106396,Top10.com,top10.com,2011-02-01,,GBR,Company,travel,4400000,1,"leisure, travel & tourism",11 - 50,8,1,3.0382615192983102e-06
308,c:106419,MarilynJean,marilynjean.com,2011-08-31,,CAN,Company,web,,1,retail,1 - 10,1,1,1.34757945924494e-08
309,c:10648,Cinergix,cinergix.com,,,AUS,Company,public_relations,,,computer software,11 - 50,17,1,1.93707885573525e-08
310,c:106523,Sumwise,sumwise.com,,,,Company,enterprise,,,information technology and services,1 - 10,0,1,9.58770285597514e-09
311,c:10659,Ninety Degree Internet Software (90di),90di.com,2007-07-23,,IND,Company,search,,1,internet,1 - 10,0,1,1.30217671378357e-08
312,c:1067,AdReady,adready.com,2006-01-01,WA,USA,Company,advertising,17807000,,marketing and advertising,11 - 50,16,1,2.60750817290633e-06
313,c:106707,Amromco Energy,amromco.com,,TX,USA,Company,cleantech,,,oil & energy,51 - 200,69,200,6.8323819589091394e-09
314,c:106720,Whereyoudey,whereyoudey.com,2010-08-01,,,Company,advertising,,1,marketing and advertising,1 - 10,3,1,5.1006675189870496e-09
315,c:106740,Speedwagon  Online Marketing,speedwagononline.com,2009-12-15,,MEX,Company,advertising,,,marketing and advertising,11 - 50,5,1,5.955128813795239e-09
316,c:10678,Remy Corporation,remycorp.com,,CO,USA,Company,consulting,,,staffing and recruiting,11 - 50,9,50,1.11580297851817e-08
317,c:10679,Tavant Technologies,tavant.com,,CA,USA,Company,public_relations,,1,information technology and services,1001 - 5000,1105,1000,1.89303452723033e-07
318,c:1068,Treemo Labs,treemolabs.com,2005-01-01,WA,USA,Company,mobile,2550000,,internet,1 - 10,2,1,1.44179995217967e-08
319,c:106845,Nuvento Systems Pvt Ltd,nuvento.com,,KS,USA,Company,software,,,information technology and services,51 - 200,66,50,6.10338950009895e-09
320,c:106895,LeanPort,leanport.com,2011-05-04,,IND,Company,software,,1,information technology and services,11 - 50,12,50,7.18884576200341e-09
321,c:1069,Mochi Media,mochimedia.com,2005-01-01,CA,USA,Company,advertising,14000000,4,online media,1 - 10,3,1,2.3573336898958898e-07
322,c:106974,Insonix,insonix.com,,,IND,Company,software,,1,information technology and services,51 - 200,36,1,5.402573350141149e-09
323,c:10703,Penguin Computing,penguincomputing.com,1998-01-01,CA,USA,Company,software,16330000,1,information technology and services,51 - 200,80,50,2.73613516584357e-07
324,c:10704,Chegg,chegg.com,2005-01-01,CA,USA,Company,education,252303692,3,internet,1001 - 5000,1131,500,2.6175025944177e-06
325,c:10705,Xactly Corp,xactlycorp.com,2005-03-01,MA,USA,Company,analytics,73870000,1,computer software,501 - 1000,424,500,5.044675650907899e-07
326,c:10706,IdeaBlade,ideablade.com,2001-01-01,CA,USA,Company,software,,,computer software,11 - 50,6,1,1.8275276865727197e-07
327,c:10708,ShipCompliant,shipcompliant.com,,CO,USA,Company,ecommerce,,,wine and spirits,11 - 50,12,1,2.5369258898362004e-07
328,c:1071,Ancestry,ancestry.com,1983-01-01,UT,USA,Company,ecommerce,333200000,5,internet,1001 - 5000,845,1000,1.0290784168104e-05
330,c:107103,Ensynch,ensynch.com,,AZ,USA,Company,consulting,,,information technology and services,11 - 50,12,50,2.63582071052581e-08
331,c:107109,Insight Enterprises,insight.com,,AZ,USA,Company,,,1,information technology and services,5001 - 10000,4924,5000,2.50023510028202e-06
332,c:10713,Backcountry.com,backcountry.com,1996-01-01,UT,USA,Company,ecommerce,,2,retail,1001 - 5000,506,1000,2.2008768919526797e-06
333,c:107135,Varian Medical Systems,varian.com,,CA,USA,Company,,,1,medical devices,5001 - 10000,3953,5000,6.476280946417189e-07
334,c:107145,TrustYou,trustyou.com,,,DEU,Company,hospitality,5000000,1,information technology and services,201 - 500,91,50,3.00727853443352e-06
336,c:10716,Hangout Industries,hangout.net,2005-01-01,MA,USA,Company,games_video,12000000,3,internet,1 - 10,1,1,1.73586452284966e-08
337,c:107188,Simpirica Spine,simpirica.com,2006-01-01,CA,USA,Company,medical,22000000,,medical devices,1 - 10,2,1,6.88302645866242e-09
338,c:10726,Expensify,expensify.com,2008-05-01,CA,USA,Company,software,6700000,3,financial services,51 - 200,85,50,2.35125226522196e-06
339,c:10731,3Com,3com.com,1980-01-01,MA,USA,Company,web,,3,computer networking,201 - 500,186,5000,8.07023014639842e-07
340,c:107378,VALOURE,valoure.com,,,,Company,consulting,,,staffing and recruiting,11 - 50,13,1,5.023364504398139e-09
341,c:10740,holidaylettings.co.uk,holidaylettings.co.uk,1999-01-01,,GBR,Company,other,,,"leisure, travel & tourism",1 - 10,4,1,1.6951538754267201e-06
342,c:107475,Gabriel Marketing Group,gabrielmarketing.com,2009-01-01,VA,USA,Company,other,,,marketing and advertising,11 - 50,9,1,2.2927794733681098e-08
344,c:1075,Blurb,blurb.com,2005-01-01,CA,USA,Company,ecommerce,21550000,3,internet,51 - 200,89,50,1.0663890045423801e-05
345,c:107503,Intelcompras,intelcompras.com,2004-05-25,,MEX,Company,ecommerce,,,consumer services,11 - 50,6,1,9.459473649133492e-09
346,c:10751,Pixelpipe,pixelpipe.com,2008-01-01,CA,USA,Company,mobile,2300000,3,internet,1 - 10,2,50,1.46271640032512e-07
347,c:107719,Franchise Gator,franchisegator.com,2001-01-01,GA,USA,Company,other,,1,internet,11 - 50,10,1,2.7740866892188802e-06
348,c:1078,The Climate Corporation,climate.com,2006-01-01,CA,USA,Company,cleantech,108900000,2,computer software,501 - 1000,425,500,6.159245252030089e-07
349,c:10782,Cruvee,cruvee.com,2007-03-01,CA,USA,Company,web,,,online media,1 - 10,0,1,1.14564834031854e-08
350,c:10783,Epylon,epylon.com,,CA,USA,Company,,,,education management,1 - 10,1,1,3.22290283107778e-08
351,c:10791,Vichara Technologies,vichara.com,2001-01-01,NY,USA,Company,software,,,information technology and services,51 - 200,75,50,1.2538205442629198e-08
353,c:10793,Fresh Web Services,freshwebservices.com,2002-03-01,,GBR,Company,ecommerce,,2,internet,1 - 10,1,1,1.99066431469916e-08
354,c:107930,IGAWorks,igaworks.com,2006-12-01,,KOR,Company,advertising,5000000,2,internet,51 - 200,29,50,5.0599024633452495e-06
355,c:10794,BaseKit Platform,basekit.com,2008-01-01,,GBR,Company,web,9100000,,internet,51 - 200,55,1,2.7923673988520197e-06
356,c:10795,Finjan,finjan.com,1996-01-01,NY,USA,Company,enterprise,32000000,1,computer & network security,11 - 50,23,1,2.76990302037751e-07
357,c:221346,Finjan  Software,finjan.com,1997-01-01,,,Company,software,,1,computer & network security,11 - 50,23,1,2.76990302037751e-07
358,c:10799,Nealite,nealite.fr,2005-06-01,,FRA,Company,consulting,,1,internet,51 - 200,32,1,6.84438830679672e-08
360,c:108,blinkx,blinkx.com,2004-12-16,CA,USA,Company,games_video,,3,internet,11 - 50,14,50,9.864666244777059e-07
362,c:1080,Automattic,automattic.com,2005-07-01,CA,USA,Company,web,30600000,6,internet,501 - 1000,456,500,0.000108814498176156
364,c:10800,Mandalorian Security Services Ltd,mandalorian.com,2005-01-01,,,Company,consulting,,,computer & network security,1 - 10,1,1,2.97438077600876e-08
365,c:108029,Infinisource,infinisource.com,,MI,USA,Company,software,,1,human resources,201 - 500,159,200,1.0449641663401999e-07
366,c:108085,Aventura HQ,aventurahq.com,2007-01-01,CO,USA,Company,software,19449781,1,information technology and services,51 - 200,41,1,1.5385626573750902e-08
367,c:168250,Aventura,aventurahq.com,2008-04-01,CO,USA,Company,software,5300000,1,information technology and services,51 - 200,41,1,1.5385626573750902e-08
368,c:108133,HealthWyse,healthwyse.com,1998-06-01,MA,USA,Company,software,,,hospital & health care,51 - 200,33,50,1.5509922475464196e-08
369,c:10817,Inadco,inadco.com,2008-04-01,CA,USA,Company,advertising,17000000,3,internet,1 - 10,4,1,2.3388377064043997e-08
370,c:108233,Thomas-Krenn,thomas-krenn.com,,,DEU,Company,ecommerce,,,information technology and services,11 - 50,16,50,5.36914353623958e-07
371,c:10825,SysArc,sysarc.com,2004-06-08,MD,USA,Company,consulting,,,information technology and services,11 - 50,15,1,1.5255502929457e-08
372,c:10855,TeleTech,teletech.com,1982-01-01,CO,USA,Company,software,,1,outsourcing/offshoring,1001 - 5000,2391,10000,2.40964758983453e-07
373,c:10856,nCircle Network Security,ncircle.com,1998-01-01,CA,USA,Company,software,6000999,,computer & network security,11 - 50,11,50,2.04399136444426e-07
374,c:10857,Getfugu,getfugu.com,2007-01-01,CA,USA,Company,software,800000,2,computer software,1 - 10,2,50,1.02298668680858e-08
375,c:10858,LiveHive Systems,livehivesystems.com,2005-12-01,,CAN,Company,software,1800000,2,computer software,1 - 10,0,1,6.30853499338338e-09
376,c:108585,Blue Water Satellite,bluewatersatellite.com,2009-02-01,OH,USA,Company,cleantech,,1,environmental services,1 - 10,3,1,8.20876171969225e-09
377,c:1087,edocr,edocr.com,2007-04-01,,GBR,Company,enterprise,,3,information technology and services,1 - 10,2,1,9.78896500436696e-07
380,c:1088,Tumblr,tumblr.com,2007-02-01,NY,USA,Company,web,125250000,5,internet,1001 - 5000,803,50,0.0006581916662561
384,c:108908,Merchant Industry,merchantindustry.com,2007-01-01,NY,USA,Company,other,,,financial services,51 - 200,43,200,6.342424249036639e-09
385,c:10892,Gays.com,gays.com,2008-01-01,,CHN,Company,network_hosting,,,internet,11 - 50,8,1,4.45190307801569e-08
386,c:10912,Clickatell,clickatell.com,2000-01-01,CA,USA,Company,messaging,12000000,2,telecommunications,201 - 500,105,200,6.99227483298871e-07
388,c:10913,ConSentry Networks,consentry.com,2003-06-01,CA,USA,Company,network_hosting,46400000,1,computer & network security,1 - 10,4,50,3.0022864750548e-08
389,c:10914,IKANO Communications,ikano.com,1999-12-01,UT,USA,Company,web,22500000,1,information technology and services,11 - 50,25,50,5.6530928123229505e-08
391,c:10917,Sipera Systems,sipera.com,2003-01-01,TX,USA,Company,security,39730000,2,computer & network security,11 - 50,19,1,4.75089274344408e-08
392,c:10925,Nimble Storage,nimblestorage.com,2008-01-01,CA,USA,Company,enterprise,81700000,3,information technology and services,501 - 1000,383,1000,1.2273990195971701e-06
394,c:10926,Aruba Networks,arubanetworks.com,2002-01-01,CA,USA,Company,,45000003,2,computer networking,1001 - 5000,2270,1000,2.26419522048231e-06
395,c:109364,Hall,hall.com,2011-01-01,CA,USA,Company,messaging,6080000,1,internet,1 - 10,0,50,9.50513787244356e-08
396,c:10940,DealBase Corporation,dealbase.com,2008-06-01,CA,USA,Company,web,1000000,2,internet,1 - 10,3,1,6.513251695531781e-08
398,c:10943,Integration New Media (INM),inm.com,1989-01-01,,CAN,Company,consulting,,1,information technology and services,11 - 50,8,50,2.9764195619869302e-08
399,c:10948,Big Fish,bigfishgames.com,2002-01-01,WA,USA,Company,games_video,95244796,3,computer games,501 - 1000,471,500,2.2105145940196203e-06
400,c:1095,uTest,utest.com,2007-08-01,MA,USA,Company,software,37800000,,computer software,1001 - 5000,736,500,8.3789213891362e-07
402,c:10969,Semantra,semantra.com,2003-01-01,TX,USA,Company,software,9100000,,computer software,1 - 10,2,50,1.2053290505448998e-08
403,c:109713,NXFX Studios,nxfx.com,2001-12-07,MA,USA,Company,advertising,,2,marketing and advertising,1 - 10,3,1,1.25146204972537e-08
404,c:109737,Chronus,chronus.com,,WA,USA,Company,,,1,computer software,51 - 200,50,50,3.2558085607150304e-07
405,c:10974,LocalsGuide,localsguide.com,2006-11-06,,,Company,network_hosting,,,computer software,1 - 10,2,1,5.26329524027322e-08
406,c:10976,MoVoxx,movoxx.com,2006-08-01,CA,USA,Company,mobile,,2,marketing and advertising,1 - 10,0,1,1.1723912333078799e-08
407,c:109797,Bridge Energy Group,bridgeenergygroup.com,2006-01-01,MA,USA,Company,consulting,11000000,1,utilities,51 - 200,60,50,2.77611907877557e-08
408,c:10980,RocketFuel,gorocketfuel.com,2007-07-07,TN,USA,Company,software,,,internet,11 - 50,21,1,7.547442998121491e-07
409,c:109821,Startapp,startapp.com,2010-12-01,NY,USA,Company,mobile,4300000,2,marketing and advertising,201 - 500,136,50,1.01210293286129e-06
410,c:109871,Algoritz Technologies,algoritz.com,2011-02-07,,IND,Company,advertising,,,internet,51 - 200,60,50,6.79919742649503e-08
411,c:109878,Cymax,cymax.com,2004-01-01,,CAN,Company,ecommerce,,1,internet,51 - 200,74,50,2.4126676900458697e-07
413,c:10992,nextep,nextep.it,2000-01-26,,ITA,Company,software,,,information technology and services,11 - 50,11,1,1.19415419440034e-07
414,c:109934,UpSellit,upsellit.com,2005-01-01,CA,USA,Company,software,,1,internet,51 - 200,31,1,2.5148653523644697e-06
415,c:109939,Just Press print,justpressprint.net,2007-06-02,NY,USA,Company,ecommerce,,,printing,1 - 10,3,1,2.61542496039894e-08
416,c:10994,PageTraffic,pagetraffic.com,2002-06-01,IL,USA,Company,advertising,,,internet,51 - 200,19,50,1.8979540391144397e-07
417,c:10995,TeleSciences,telesciences.com,1967-01-01,NJ,USA,Company,software,,1,telecommunications,1 - 10,2,50,2.22173123601845e-08
418,c:109951,SMART SCHOOL EDUCATION,smartschoolonline.in,2008-04-11,,,Company,software,,,e-learning,51 - 200,26,200,7.657266861185758e-09
